Meanings,J Translation,English Definition,pronunciation,POS
grant,(願い・要求などを)聞き入れる；付与する,To give or let someone do what they want,grænt,動詞(verb)
grin,ニヤリと笑う,To show the teeth because you are amused ; smile,grɪn,動詞(verb)
guarantee,保証，保証する,To make a formal promise that something will happen or be done.,ˌgɛrənˈti,動詞(verb)
guard,守る；見張る，警備,to keep watch over something to protect it e.g. a bank,gɑrd,動詞(verb)
guest,客；ゲスト,person invited to visit or stay in someone's home,gɛst,名詞(n.)
guide,案内する；指導する，案内者；指導者,To lead people visiting a new or unknown place,gaɪd,動詞(verb)
guilty,有罪の,Responsible for a wrongdoing or an offense,ˈgɪlti,形容詞(adj.)
habit,習慣,usual way of behaving ; something often repeated,ˈhæbət,名詞(n.)
harm,損害，害する,"To injure, damage, or cause problems due to something you do",hɑrm,動詞(verb)
height,高さ,distance of something from the bottom to the top,haɪt,名詞(n.)
hero,英雄,person of great courage and strength who saves others,ˈhɪroʊ,名詞(n.)
hesitate,ためらう,To stop before doing something because you are unsure what to do,ˈhɛzəˌteɪt,動詞(verb)
hire,雇う,To employ a person to do a particular job or borrow something,ˈhaɪər,動詞(verb)
hook,フック，フックで吊るす,curved or bent tool,hʊk,名詞(n.)
hotel,ホテル,place where people can stay when travelling,hoʊˈtɛl,名詞(n.)
identify,確認する；同一視する,To indicate who or what someone or something is,aɪˈdɛntəˌfaɪ,動詞(verb)
identity,アイデンティティ；独自性；身元,collection of qualities that makes a person,aɪˈdɛntəti,名詞(n.)
ignore,無視する,"To not listen to, look at, or pay attention to",ɪgˈnɔr,動詞(verb)
ill,病気で，悪く,Not well or sick,ɪl,形容詞(adj.)
illegal,違法の,Not allowed by the laws or rules,ɪˈligəl,形容詞(adj.)
illness,病気,unhealthy condition of the mind or body,ˈɪlnəs,名詞(n.)
illustrate,説明する,To explain with examples to make easier to understand,ˈɪləˌstreɪt,動詞(verb)
illustration,挿絵；図解,picture that helps explain something,ˌɪləˈstreɪʃən,名詞(n.)
image,イメージ；画像,"picture, sculpture or painting of something",ˈɪməʤ,名詞(n.)
immediate,即時の；直近の,done without delay; straight away,ɪˈmidiət,形容詞(adj.)
immediately,すぐに,without any delay; straight away; right (after or before),ɪˈmidiətli,副詞(adv)
impress,よい印象を与える,To make an emotional or cognitive impact upon,ˈɪmˌprɛs,動詞(verb)
impressive,印象的な,"Causing admiration or respect; big, grand, expensive etc",ɪmˈprɛsɪv,形容詞(adj.)
improve,改善する,"To make, or become, something better",ɪmˈpruv,動詞(verb)
improvement,改善,addition or change that makes something better,ɪmˈpruvmənt,名詞(n.)
inch,インチ,1/12 of a foot (2.54 centimeters),ɪnʧ,名詞(n.)
include,含む,to make someone/something part of a group,ɪnˈklud,動詞(verb)
income,収入,"Earned money from work, investments or business",ˈɪnˌkʌm,名詞(n.)
increase,増える；増加させる,to make or become something larger in size or amount,ˈɪnˌkris,動詞(verb)
increasingly,ますます,more and more; in greater degree or amount,ɪnˈkrisɪŋli,副詞(adv)
indicate,指し示す,"To show something, direct attention to or point out",ˈɪndəˌkeɪt,動詞(verb)
indication,表示；兆候,Something that signals that something else exists or will happen,ˌɪndəˈkeɪʃən,名詞(n.)
individual,個人，個人の,"single person, looked at separately from others",ˌɪndəˈvɪʤəwəl,名詞(n.)
industrial,産業の,Concerning industry or people involved in industry,ɪnˈdʌstriəl,形容詞(adj.)
industry,産業,Factories or businesses that make certain products,ˈɪndəstri,名詞(n.)
influence,影響を与える，影響,to affect what happens; change something (indirectly),ˈɪnfluəns,動詞(verb)
injure,傷つける,Do physical harm or damage,ˈɪnʤər,動詞(verb)
injury,傷害,Physical or emotional harm or damage that a person experiences,ˈɪnʤəri,名詞(n.)
innocent,無邪気な；無罪の,Free from evil or guilt,ˈɪnəsənt,形容詞(adj.)
insist,主張する,To strongly state your opinion without changing it,ɪnˈsɪst,動詞(verb)
instance,例；実例,an example of something; case,ˈɪnstəns,名詞(n.)
instruction,指示；教育,information about how to do or use something,ɪnˈstrʌkʃən,名詞(n.)
instrument,楽器,device that is used for creating music,ˈɪnstrəmənt,名詞(n.)
intend,～するつもりである,To plan or want to do something,ɪnˈtɛnd,動詞(verb)
intense,激しい,"Very strong, great or extreme in degree",ɪnˈtɛns,形容詞(adj.)
intention,意図,aim or purpose,ɪnˈtɛnʧən,名詞(n.)
interview,面接；インタビュー,To formally ask questions about a given topic,ˈɪntərˌvju,動詞(verb)
introduce,紹介する,to make someone known to another by name,ˌɪntrəˈdus,動詞(verb)
introduction,紹介,making someone known to another by name,ˌɪntrəˈdʌkʃən,名詞(n.)
investigate,調査する,To try to find out facts; to carry out research,ɪnˈvɛstəˌgeɪt,動詞(verb)
investigation,調査,search for information about something,ɪnˌvɛstəˈgeɪʃən,名詞(n.)
invitation,招待,"when someone asks another to attend an event, etc",ˌɪnvɪˈteɪʃən,名詞(n.)
invite,招待する；勧める,To ask someone to go somewhere or do something,ɪnˈvaɪt,動詞(verb)
iron,アイロン，アイロンをかける,hot heavy metal object used to smoothen clothes,ˈaɪərn,名詞(n.)
item,事項；項目,"distinct, individual thing, often part of a group",ˈaɪtəm,名詞(n.)
jacket,ジャケット；カバー,"light, thin coat worn on the upper body over another shirt or piece of clothing for protection or warmth",ˈʤækət,名詞(n.)
journey,旅,act of traveling from one place to another ; trip,ˈʤɜrni,名詞(n.)
joy,喜び,feeling of great happiness and pleasure,ʤɔɪ,名詞(n.)
July,7月,7th month of the year,ˌʤuˈlaɪ,名詞(n.)
justice,公正,"quality of being fair, equal, or just",ˈʤʌstəs,名詞(n.)
keen,鋭い,Being eager or excited for something to happen,kin,形容詞(adj.)
knee,膝,Middle part of your leg that bends,ni,名詞(n.)
knife,ナイフ；刀,long piece of metal you use for cutting things,naɪf,名詞(n.)
knowledge,知識,"Information, understanding, or skill",ˈnɑləʤ,名詞(n.)
labor,労働，働く；詳細に論じる,To work hard (often physically) for many hours,ˈleɪbər,動詞(verb)
laboratory,研究室,workplace for the conduct of scientific research,ˈlæbrəˌtɔri,名詞(n.)
lack,不足，欠いている,"to not have, or not have enough, of something",læk,動詞(verb)
language,言語,words or signs used to communicate messages,ˈlæŋgwəʤ,名詞(n.)
lawyer,弁護士,professional who helps people with the law,ˈlɔjər,名詞(n.)
league,同盟；リーグ ,association of sports teams that organizes matches for its members,lig,名詞(n.)
leap,飛び跳ねる，跳躍,To move forwards often in big steps,lip,動詞(verb)
legal,合法的な；法的な,Concerning the law; allowed by law,ˈligəl,形容詞(adj.)
lend,貸す,to give to someone for a while before it is returned,lɛnd,動詞(verb)
length,長さ,measurement of distance or of time,lɛŋkθ,名詞(n.)
lesson,授業；課,something done to learn or teach something; class,ˈlɛsən,名詞(n.)
library,図書館,place where books and other media are kept,ˈlaɪˌbrɛri,名詞(n.)
license,免許,official certificate which grants a person permission to do or have something,ˈlaɪsəns,名詞(n.)
likely,ありそうな；～しそうである；適した,referring to the chance that something will actually happen,ˈlaɪkli,形容詞(adj.)
limit,限度；境界，制限する,point beyond which it is not possible to go,ˈlɪmət,名詞(n.)
limitation,制限；限界,act of controlling or reducing the size of something,ˌlɪmɪˈteɪʃən,名詞(n.)
loan,貸す，貸付,To borrow money that must be paid back,loʊn,動詞(verb)
locate,捜し出す；置く；位置する,"To find a certain place, location, or destination",ˈloʊˌkeɪt,動詞(verb)
location,場所,particular position or area,loʊˈkeɪʃən,名詞(n.)
log,丸太,piece of a tree that has fallen or been cut,lɔg,名詞(n.)
loose,ゆるい；自由な,Not tightly attached or held,lus,形容詞(adj.)
loss,失うこと；損害,experience or state of failing to have or keep,lɔs,名詞(n.)
magazine,雑誌,weekly or monthly publication with pictures and stories,ˈmægəˌzin,名詞(n.)
magic,手品；魔法,Any art that invokes supernatural powers,ˈmæʤɪk,名詞(n.)
mail,郵便；メール,"a letter, package or email",meɪl,名詞(n.)
maintain,維持する；持続する,"To keep, exist or continue without changing",meɪnˈteɪn,動詞(verb)
maintenance,維持；整備,keeping (a machine) working by checking and fixing it,ˈmeɪntənəns,名詞(n.)
male,男性,Characteristic of boys or men,meɪl,形容詞(adj.)
manner,方法,That way that something happens or is done,ˈmænər,名詞(n.)
map,地図,picture showing the geography of an area,mæp,名詞(n.)
mass,質量,Having to do with a large amount of people,mæs,名詞(n.)
massive,巨大な；大量の,Very big large too big,ˈmæsɪv,形容詞(adj.)
match,試合,"a sports competition between two people or teams
",mæʧ,名詞(n.)
mate,仲間,"Someone who you work, live, or go to school with",meɪt,名詞(n.)
material,材料，物質,substance from which a thing is made of,məˈtɪriəl,名詞(n.)
mathematics,数学,study or science of numbers and shapes,ˌmæθəˈmætɪks,名詞(n.) 複数形(pl.)
maximum,最大,largest or greatest,ˈmæksəməm,名詞(n.)
measure,測る;寸法をとる,"To calculate size, weight or temperature of",ˈmɛʒər,動詞(verb)
measurement,測定,size or amount of something or someone,ˈmɛʒərmənt,名詞(n.)
meat,肉；,flesh of a dead animal that you eat,mit,名詞(n.)
medical,医療の,of or relating to physical health or medicine,ˈmɛdəkəl,形容詞(adj.)
medicine,薬,a substance used in treating illness or pain,ˈmɛdəsən,名詞(n.)
memory,記憶,Something that has been remembered,ˈmɛməri,名詞(n.)
mental,精神の,Concerning the mind,ˈmɛntəl,形容詞(adj.)
message,メッセージ；伝言,piece of information that is told/given to someone,ˈmɛsəʤ,名詞(n.)
metal,金属,Usually hard shiny material mined from rock,ˈmɛtəl,名詞(n.)
meter,メートル,unit of length equal to 100cm or about 39 inches,ˈmitər,名詞(n.)
military,軍隊，軍の,Concerning soldiers or the armed forces,ˈmɪləˌtɛri,名詞(n.)
minor,小さい；少ない；重要でない,"Not so large in size, not important or valuable",ˈmaɪnər,形容詞(adj.)
minority,少数派,part that is less than half of the whole; a small part,maɪˈnɔrəti,名詞(n.)
mirror,鏡,thing with a glass surface used to look at yourself,ˈmɪrər,名詞(n.)
mission,任務,a special assignment that is given to a person or group,ˈmɪʃən,名詞(n.)
mix,混ぜる,To combine two or more things to make one,mɪks,動詞(verb)
model,模型を作る，模範となる,To make a small scale copy of a full original,ˈmɑdəl,形容詞(adj.)
modern,現代の,of the present time; up to date; contemporary,ˈmɑdərn,形容詞(adj.)
mood,気分；ムード,emotion or a state of mind; how you feel,mud,名詞(n.)
moon,月,round object circling the Earth at night,mun,名詞(n.)
motor,"自動車の,動力を起こす",concerning cars and vehicles,ˈmoʊtər,形容詞(adj.)
mount,登る；乗る；取り付ける,To attach to a support,maʊnt,動詞(verb)
mouse,ネズミ,small animal that has fur and a long tail,maʊs,名詞(n.)
murder,殺人，殺す,crime of deliberately killing a person,ˈmɜrdər,名詞(n.)
muscle,筋肉,One of the contractile soft organs of the body,ˈmʌsəl,名詞(n.)
mystery,謎；ミステリー,"book, play, or film that deals with a solution of a strange crime",ˈmɪstəri,名詞(n.)
narrow,狭い,Not wide ; short from one side to the other,ˈnɛroʊ,形容詞(adj.)
native,ネイティブ；母語話者,person speaking a language from birth,ˈneɪtɪv,名詞(n.)
neither,どちらも～ない,Not one or the other not either none of two things,ˈniðər,形容詞(adj.)
nerve,神経,fibers in the body that enable feeling and movement,nɜrv,名詞(n.)
nervous,神経質な；緊張して,Having a tendency to become uneasy or anxious,ˈnɜrvəs,形容詞(adj.)
newspaper,新聞,Sheets of paper (or online) containing news stories,ˈnuzˌpeɪpər,名詞(n.)
nor,～もまた～でない,Used to show two things that are both untrue or do not happen,nɔr,接続詞(conj.)
northern,北の,in or toward the north,ˈnɔrðərn,形容詞(adj.)
November,11月,11th month of the year,noʊˈvɛmbər,名詞(n.)
nowhere,どこにも～ない,Not in or at any place; no place,ˈnoʊˌwɛr,副詞(adv)
object,反対する,to disagree; to protest against an idea or plan,ˈɑbʤɛkt,動詞(verb)
observation,観察；監視,remark or comment on something you noticed,ˌɑbzərˈveɪʃən,名詞(n.)
observe,観察する,to watch carefully; to make a comment,əbˈzɜrv,動詞(verb)
occasion,時；出来事；機会,time when something happens or takes place,əˈkeɪʒən,名詞(n.)
occasionally,時折に,not very often; sometimes; seldom,əˈkeɪʒənəli,副詞(adv)
occur,発生する,To come to pass or to happen,əˈkɜr,動詞(verb)
October,10月,10th month of the year,ɑkˈtoʊbər,名詞(n.)
official,公式な；公的な,of or done by someone in authority; formal,əˈfɪʃəl,形容詞(adj.)
operate,作動する；操作する；作用する；経営する,To be working or being used,ˈɑpəˌreɪt,動詞(verb)
operation,作用；操作；事業,Functioning; use,ˌɑpəˈreɪʃən,名詞(n.)
operator,操作者；(電話の)交換手；経営者,person whose job it is to connect phone calls,ˈɑpəˌreɪtər,名詞(n.)
opinion,意見,a person's thoughts on a topic,əˈpɪnjən,名詞(n.)
opportunity,機会,time/situation when a thing might be done; chance,ˌɑpərˈtunəti,名詞(n.)
oppose,反対する,"To fight against someone in a contest, game or fight",əˈpoʊz,動詞(verb)
opposite,反対側の,Across from or on the side facing something,ˈɑpəzət,形容詞(adj.)
opposition,反対,act of disagreeing or trying to stop something,ˌɑpəˈzɪʃən,名詞(n.)
ordinary,普通の,Normal or usual,ˈɔrdəˌnɛri,形容詞(adj.)
organization,組織,formal group of people with a particular purpose,ˌɔrgənəˈzeɪʃən,名詞(n.)
organize,組織する；まとめる；計画する,"To arrange and plan things, e.g. a party",ˈɔrgəˌnaɪz,動詞(verb)
original,最初の；原始的な；独創的な，原物,"being first made, thought or performed; fresh",əˈrɪʤənəl,形容詞(adj.)
originally,もともと,At first; in the beginning,əˈrɪʤənəli,副詞(adv)
otherwise,さもなければ；別のやり方で，他の,"indicates that there will be a bad result if something is done, not done, or done improperly",ˈʌðərˌwaɪz,副詞(adv)
owe,借りがある；義務がある；おかげである,To need to pay or repay money,oʊ,動詞(verb)
panic,恐慌；パニック,overwhelming feeling of fear and anxiety,ˈpænɪk,名詞(n.)
partner,パートナー；相棒,someone you have a business or personal relationship with,ˈpɑrtnər,名詞(n.)
partnership,協力関係,working with others for some purpose,ˈpɑrtnərˌʃɪp,名詞(n.)
path,小道；通り道,track made with stones/by walking over the ground,pæθ,名詞(n.)
patient,辛抱強い,not getting annoyed when things take a long time,ˈpeɪʃənt,形容詞(adj.)
pattern,模範；原型；模様；傾向；パターン,regular repeated behavior,ˈpætərn,名詞(n.)
pause,休止，休止する,To stop doing for a while before continuing,pɔz,動詞(verb)
peace,平和,time when there is no war or fighting,pis,名詞(n.)
pen,ペン,Something you write with in ink,pɛn,名詞(n.)
pension,年金,regular payments you receive after you retire,ˈpɛnʃən,名詞(n.)
per,～につき； ～ごとに,For each; during each,pɜr,前置詞(prep.)
percent,パーセント,One one-hundredth of a whole,pərˈsɛnt,名詞(n.)
percentage,パーセンテージ；割合,part of a whole divided into hundredths,pərˈsɛntəʤ,名詞(n.)
perform,行う；成し遂げる,To carry out an action well or successfully,pərˈfɔrm,動詞(verb)
performance,演奏；公演,activity done to entertain an audience,pərˈfɔrməns,名詞(n.)
period,期間；時代,set amount of time during which events take place,ˈpɪriəd,名詞(n.)
physical,身体の；肉体の,Concerning the body of a person,ˈfɪzɪkəl,形容詞(adj.)
piano,ピアノ,keyboard instrument used for playing music,piˈænoʊ,名詞(n.)
pig,ブタ,animal that bacon comes from,pɪg,名詞(n.)
pile,積み重ねる，積み重ね,group of things one on top of another,paɪl,名詞(n.)
pink,ピンク,One of the colors people can see:,pɪŋk,形容詞(adj.)
pipe,管；パイプ,"tube a round, hollow piece of metal, plastic, or wood",paɪp,名詞(n.)
pitch,ボールを投げる，投球,black substance that is sticky when it is hot and very hard when it is dry,pɪʧ,名詞(n.)
plain,地味な；質素な；明白な,very simple/ordinary; not decorated; not striped,pleɪn,形容詞(adj.)
plane,飛行機；平面；平らな；水準,an airplane,pleɪn,名詞(n.)
planet,惑星,One of the bodies that orbit the sun,ˈplænət,名詞(n.)
plastic,プラスチック,"stiff but usually come; what flexible man-made material, usually made using a hydrocarbon-based polymer",ˈplæstɪk,名詞(n.)
plate,皿,flat dish used for eating or serving food,pleɪt,名詞(n.)
pleasant,気持ちのよい,Causing a good feeling,ˈplɛzənt,形容詞(adj.)
pleasure,楽しさ；愉快；満足,"feeling of happiness, enjoyment, or satisfaction",ˈplɛʒər,名詞(n.)
pocket,ポケット,small cloth bag sewn into clothing to hold things,ˈpɑkət,名詞(n.)
poem,詩,"a written composition in verse, not prose",ˈpoʊəm,名詞(n.)
poet,詩人,person who writes poems,ˈpoʊət,名詞(n.)
poetry,詩,poetic writing; imaginative verses,ˈpoʊətri,名詞(n.)
policy,政策；方針,"course of action proposed by an organization, etc",ˈpɑləsi,名詞(n.)
political,政治の,Concerning government or public affairs,pəˈlɪtəkəl,形容詞(adj.)
politician,政治家,someone who is active in politics,ˌpɑləˈtɪʃən,名詞(n.)
politics,政治,Activities influencing the policies of a government,ˈpɑləˌtɪks,名詞(n.) 複数形(pl.)
pollution,汚染,act or result of releasing dirty or dangerous substances into an environment,pəˈluʃən,名詞(n.)
pool,プール,large container or hole that is filled with water and used for people to swim in,pul,名詞(n.)
popular,人気のある,liked or enjoyed by many people,ˈpɑpjələr,形容詞(adj.)
population,人口,"number of people who live in a country, area etc",ˌpɑpjəˈleɪʃən,名詞(n.)
port,港,"place along a coast where ships load and unload things or passengers, or be sheltered during a storm",pɔrt,名詞(n.)
positive,確かな；肯定的な；前向きな,"Good or useful in qualities, constructive, confident",ˈpɑzətɪv,形容詞(adj.)
possess,所有する；取り憑く,to have or own something,pəˈzɛs,動詞(verb)
possession,所有物,Having or owning something,pəˈzɛʃən,名詞(n.)
potato,じゃがいも,edible tuber vegetable,pəˈteɪˌtoʊ,名詞(n.)
pour,注ぐ,To make something flow in a steady stream,pɔr,動詞(verb)
practical,実用的な,"relating to what is sensible, real or useful",ˈpræktəkəl,形容詞(adj.)
practice,練習する,To do something many times to improve a skill,ˈpræktəs,動詞(verb)
pray,祈る；祈願する,To wish or hope for something to happen or be true,preɪ,動詞(verb)
prefer,好む,To like something better than something else,prəˈfɜr,動詞(verb)
preference,好み,Something that is liked or wanted more than another,ˈprɛfərəns,名詞(n.)
pregnancy,妊娠,state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus,ˈprɛgnənsi,名詞(n.)
pregnant,妊娠している,When women carry a child inside them that is not yet born,ˈprɛgnənt,形容詞(adj.)
president,大統領；社長,"person in charge of a country, company or organization",ˈprɛzəˌdɛnt,名詞(n.)
presidential,大統領・社長の,Concerning the president,ˌprɛzəˈdɛnʧəl,形容詞(adj.)
pressure,圧力,the force/weight when pressing against a thing,ˈprɛʃər,名詞(n.)
presumably,恐らく,Concerning a true or likely nature,prəˈzuməbli,副詞(adv)
pretend,ふりをする,To act as if something is true when it is not,priˈtɛnd,動詞(verb)
prevent,防ぐ,To stop something from happening or existing,prɪˈvɛnt,動詞(verb)
previous,前の,Existing or happening before the present time,ˈpriviəs,形容詞(adj.)
previously,以前に,at an earlier time,ˈpriviəsli,副詞(adv)
pride,誇り,When you respect yourself,praɪd,名詞(n.)
prime,最も重要な；最上の,"Most important, chief importance in value",praɪm,形容詞(adj.)
print,印刷する,"To make many copies of a page, magazine or book",prɪnt,動詞(verb)
printer,印刷機；プリンター ,machine that makes copies of papers and documents,ˈprɪntər,名詞(n.)
private,私的な；個人的な,(information) personal; not to be seen by everyone,ˈpraɪvət,形容詞(adj.)
process,製造過程；手順；一連のプロセス，処理する,To adopt a set of actions that produce a particular result,ˈprɑˌsɛs,動詞(verb)
produce,産出する；製造する,To manufacture something using machines,ˈproʊdus,動詞(verb)
producer,生産者；製造者,company producing or growing a certain product,prəˈdusər,名詞(n.)
product,製品,item that can be bought,ˈprɑdəkt,名詞(n.)
production,生産,process of making something on a large scale,prəˈdʌkʃən,名詞(n.)
profession,専門職,job requiring special education or skills,prəˈfɛʃən,名詞(n.)
professional,専門職の；プロの,"About a job such as doctor, lawyer, accountant, etc",prəˈfɛʃənəl,形容詞(adj.)
progress,前進する,To move forward or toward a place or goal,ˈprɑˌgrɛs,動詞(verb)
project,計画；事業；プロジェクト,a planned piece of work for specific purpose,ˈprɑʤɛkt,名詞(n.)
property,所有物；財産,"Things, building or piece of land owned by someone",ˈprɑpərti,名詞(n.)
proposal,提案,offer or plan to people who can decide about it,prəˈpoʊzəl,名詞(n.)
propose,提案する,To offer or put forward an idea for consideration,prəˈpoʊz,動詞(verb)
protest,抗議，抗議する,To express opposition through action or words,ˈproʊˌtɛst,動詞(verb)
proud,誇りに思う,Pleased because of something you have done,praʊd,形容詞(adj.)
prove,証明する,To demonstrate truth by providing evidence,pruv,動詞(verb)
provide,提供する,To make available; to supply for use,prəˈvaɪd,動詞(verb)
pub,パブ；酒場,building with a bar licensed to sell alcohol,pʌb,名詞(n.)
pump,ポンプ，ポンプでくみ上げる,To make water or any other liquid move using a machine,pʌmp,動詞(verb)
purchase,購入する,To buy something; to get by paying money for it,ˈpɜrʧəs,動詞(verb)
pure,純粋な,Not mixed with anything else; uncontaminated,pjʊr,形容詞(adj.)
purpose,目的,reason for which something is done; aim; goal,ˈpɜrpəs,名詞(n.)
qualification,資格,official record proving a certain standard or level,ˌkwɑləfəˈkeɪʃən,名詞(n.)
qualify,資格を取る,to earn a qualification through exam/studying,ˈkwɑləˌfaɪ,動詞(verb)
quality,質；資質,high level of worth or excellence,ˈkwɑləti,名詞(n.)
quote,引用する，引用,To use someone's exact words in your writing or speech,kwoʊt,動詞(verb)
range,範囲，範囲に及ぶ；並べる,limits within which something extends or varies,reɪnʤ,名詞(n.)
rapid,急速な,Happening very quickly,ˈræpəd,形容詞(adj.)
rapidly,急速に,With great speed,ˈræpədli,副詞(adv)
rare,珍しい,Not common or usual,rɛr,形容詞(adj.)
rarely,めったに～ない,In an infrequent manner,ˈrɛrli,副詞(adv)
rat,ネズミ,Any of various long-tailed rodents similar to but larger than a mouse,ræt,名詞(n.)
react,反応する,To behave or make a change in a particular way,riˈækt,動詞(verb)
reaction,反応,feeling or action in response to something,riˈækʃən,名詞(n.)
recall,思い出す，想起,To remember events or details of the past,ˈriˌkɔl,動詞(verb)
receive,受ける；受信する,to get something that someone has given or sent to you,rəˈsiv,動詞(verb)
reckon,数える；考える,to believe or expect that something is true,ˈrɛkən,動詞(verb)
recognize,認識する,To remember because you have met it before,ˈrɛkəgˌnaɪz,動詞(verb)
recommend,推薦する,To say something is good and deserves to be chosen,ˌrɛkəˈmɛnd,動詞(verb)
recommendation,推薦,official suggestion about a course of action or a choice of person; the act of suggesting someone or something as a good choice,ˌrɛkəmənˈdeɪʃən,名詞(n.)
recover,回復する,"To revive, become healthy after an illness or injury",rɪˈkʌvər,動詞(verb)
recovery,回復,process of returning to a former state after problems or a downward turn,rɪˈkʌvri,名詞(n.)
reduce,減少させる,To make something smaller or use less of it,rəˈdus,動詞(verb)
reduction,削減,Making something smaller ; reducing something,rəˈdʌkʃən,名詞(n.)
refer,言及する；引用する；参照する,To talk about or write about something,rəˈfɜr,動詞(verb)
reference,言及；参照,To cite a piece of research in speech or in writing,ˈrɛfərəns,動詞(verb)
refuse,拒否する,To say that you will not accept something,rɪˈfjuz,動詞(verb)
regard,注視する；注意を払う,To pay attention to someone or something,rəˈgɑrd,動詞(verb)
regardless,～に注意しない；～にかかわらず,Without being affected or concerned by something difficult or troubling,rəˈgɑrdləs,形容詞(adj.)
region,地域,"part of a country, of the world, area, etc",ˈriʤən,名詞(n.)
regional,地域の,Concerning a particular area,ˈriʤənəl,形容詞(adj.)
register,登録する，登録,To record your name on an official list; sign up,ˈrɛʤɪstər,動詞(verb)
registration,登録,act of recording information on an official list,ˌrɛʤɪˈstreɪʃən,名詞(n.)
regular,定期的な；規則的な,Occurring or being done frequently,ˈrɛgjələr,形容詞(adj.)
regularly,定期的に；規則的に,"At the usual time each day, week, or month",ˈrɛgjələrli,副詞(adv)
relax,くつろぐ；緩める,"To become or free from tense, tight, or stiff",rɪˈlæks,動詞(verb)
release,解放する；公開する，解放,"To allow to leave a jail, cage, prison, etc",riˈlis,動詞(verb)
reliable,信頼できる,"Deserving of your trust, dependable",rɪˈlaɪəbəl,形容詞(adj.)
relief,除去；安心；救助,pleasant and relaxed feeling,rɪˈlif,名詞(n.)
rely,"〖on [upon] A〗 Aを頼りにする, 信頼する",To depend on someone or something,rɪˈlaɪ ,動詞(verb)
remain,残る；～ままである，残り；遺跡,"To be left behind, to continue to exist",rɪˈmeɪn,動詞(verb)
remark,発言，述べる,To notice or make a comment about something,rɪˈmɑrk,動詞(verb)
remarkable,顕著な,"Interesting and unexpected, worthy of notice",rɪˈmɑrkəbəl,形容詞(adj.)
remind,思い出させる,To make someone remember something,riˈmaɪnd,動詞(verb)
remove,取り除く；解任する,"To move, erase or take away from a place",riˈmuv,動詞(verb)
repair,修理する,To put what is broken back into good condition ; fix,rɪˈpɛr,動詞(verb)
repeat,繰り返す，繰り返し,To say something again,rɪˈpit,動詞(verb)
replace,取り替える,To use instead of something else,ˌriˈpleɪs,動詞(verb)
represent,表す；代表する；説明する,To stand in the place of to act the part of,ˌrɛprəˈzɛnt,動詞(verb)
representation,表現,act or action of representing something,ˌrɛprəzɛnˈteɪʃən,名詞(n.)
representative,代表者，代表する,Typical of a particular group or thing,ˌrɛprəˈzɛntətɪv,名詞(n.)
require,必要とする,"To need something, to make it necessary",ˌriˈkwaɪər,動詞(verb)
requirement,必要条件,Something that is a necessity,rɪˈkwaɪrmənt,名詞(n.)
research,研究，研究する,To carefully study to find and report new knowledge,riˈsɜrʧ,動詞(verb)
researcher,研究者,Someone who does research work,ˈrisərʧər,名詞(n.)
reserve,予約する；取っておく,"To arrange for a room, table be kept for you, at particular time.",rɪˈzɜrv,動詞(verb)
resist,抵抗する,To try to stop or prevent something,rɪˈzɪst,動詞(verb)
resistance,抵抗；耐性,Refusal to accept something new or different,rɪˈzɪstəns,名詞(n.)
respect,尊敬する，尊敬,To think very highly of another person because of what they do,rɪˈspɛkt,動詞(verb)
restaurant,レストラン,"place where you can order, buy and eat a meal",ˈrɛstəˌrɑnt,名詞(n.)
result,結果，～という結果になる,To be the outcome of other causes and effects,rɪˈzʌlt,動詞(verb)
retire,引退する；退職する,To stop because you have reached the time,rɪˈtaɪr,動詞(verb)
retirement,引退；退職,Concerning people who have stopped working because they have reached a certain age,rɪˈtaɪərmənt,名詞(n.)
risk,危険；リスク，賭ける；危険にさらす,To take the chance that you may do something dangerous,rɪsk,動詞(verb)
role,役割,character played by an actor,roʊl,名詞(n.)
roof,屋根,cover or top of something,ruf,名詞(n.)
root,根；根元，根付かせる；根こそぎにする,the part of a plant that grows underground,rut,名詞(n.)
row,漕ぐ,To move a boat using long pieces of wood called oars,roʊ,動詞(verb)
royal,国王の,Concerning a king or queen,ˈrɔɪəl,形容詞(adj.)
ruin,荒廃；破滅，破壊する；破滅させる；だめにする,"To destroy or spoil something, to make it useless",ˈruən,動詞(verb)
rush,大急ぎでする；突進する，急ぎ；突進；ほとばしり,To do something very quickly,rʌʃ,動詞(verb)
sake,為；目的；利益,interest or benefit of someone or something,seɪk,名詞(n.)
salary,給料,money an employee is paid each year,ˈsæləri,名詞(n.)
sale,販売；売上高,Giving something for money; the amount sold,seɪl,名詞(n.)
salt,塩,Natural white crystal used to flavor or preserve food,sɔlt,名詞(n.)
sand,砂,Grains of rock that make beaches and deserts,sænd,名詞(n.)
satisfy,満たす,To be happy because you met your expectation,ˈsætəˌsfaɪ,動詞(verb)
scale,目盛り；基準；尺度；縮尺比；規模,a device that is used to weigh a person or thing,skeɪl,名詞(n.)
scene,現場；場面,part of an act in a play,sin,名詞(n.)
schedule,予定；スケジュール,To arrange a time to do something with others,ˈskɛʤʊl,動詞(verb)
score,得点，得点する,To get points in a sport such as kicking a ball into a goal,skɔr,動詞(verb)
scream,悲鳴，悲鳴を上げる,To make a sudden loud cry,skrim,動詞(verb)
